N76	t3	{TAEGU}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE,NESNO,MELUN,ACACH,MANVI}#{CORBR}|{GEOFO}	0	4.01732	1987.26
N77	t1	{TAEGU,GEOFO}|{CORBR}#{MANVI}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE,NESNO,MELUN,ACACH}	1	1964.51	1979.78
N77	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE,NESNO,MELUN,ACACH}|{CORBR}#{MANVI}|{TAEGU,GEOFO}	0	7.15449	1979.78
N77	t3	{TAEGU,GEOFO}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE,NESNO,MELUN,ACACH}#{MANVI}|{CORBR}	0	8.10867	1979.78
N78	t1	{TAEGU,GEOFO,CORBR}|{MANVI}#{ACACH}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE,NESNO,MELUN}	1	1745.15	1922.17
N78	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE,NESNO,MELUN}|{MANVI}#{ACACH}|{TAEGU,GEOFO,CORBR}	0	86.1126	1922.17
N78	t3	{TAEGU,GEOFO,CORBR}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE,NESNO,MELUN}#{ACACH}|{MANVI}	0	90.9108	1922.17
N79	t1	{TAEGU,GEOFO,CORBR,MANVI}|{ACACH}#{NESNO,MELUN}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE}	1	1929.07	1939.47
N79	t2	{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE}|{ACACH}#{NESNO,MELUN}|{TAEGU,GEOFO,CORBR,MANVI}	0	4.42361	1939.47
N79	t3	{TAEGU,GEOFO,CORBR,MANVI}|{GALGA,MELGA,ANAPL,TINMA,STRCA,PTEGU,MESUN,COLLI,PHORU,PODCR,CHLUN,TAUER,CUCCA,BALRE,CHAVO,OPHHO,EURHE,PHALE,GAVST,APTFO,PYGAD,FULGL,PHACA,NIPNI,EGRGA,PELCR,CHAPE,CALAN,CAPCA,HALLE,HALAL,CATAU,TYTAL,PICPU,MERNU,BUCRH,APAVI,LEPDI,COLST,CARCR,FALPE}#{NESNO,MELUN}|{ACACH}	0	5.97527	1939.47
