AALA__ref	AALA__ref
CUC_Cucurbita_pepo_var_ovifera_GSK	CUC_Cucurbita_pepo_var_ovifera_GSK
CUC_Cucurbita_pepo_var_ovifera_GSK__00	CUC_Cucurbita_pepo_var_ovifera_GSK
CUC_Cucurbita_pepo_var_ovifera_GSK__01	CUC_Cucurbita_pepo_var_ovifera_GSK
CUC_Cucurbita_pepo_var_ovifera_GSK__02	CUC_Cucurbita_pepo_var_ovifera_GSK
CUC_Cucurbita_pepo_var_ozarkana_GSK	CUC_Cucurbita_pepo_var_ozarkana_GSK
CUC_Cucurbita_pepo_var_ozarkana_GSK__00	CUC_Cucurbita_pepo_var_ozarkana_GSK
CUC_Cucurbita_pepo_var_ozarkana_GSK__01	CUC_Cucurbita_pepo_var_ozarkana_GSK
CUC_Cucurbitella_duriaei	CUC_Cucurbitella_duriaei
CUC_Cucurbitella_duriaei__00	CUC_Cucurbitella_duriaei
CUC_Cucurbitella_duriaei__01	CUC_Cucurbitella_duriaei
CUC_Cucurbitella_duriaei__02	CUC_Cucurbitella_duriaei
CUC_Cucurbitopsis_aspera_RNA	CUC_Cucurbitopsis_aspera_RNA
CUC_Cucurbitopsis_aspera_RNA__00	CUC_Cucurbitopsis_aspera_RNA
CUC_Cucurbitopsis_aspera_RNA__01	CUC_Cucurbitopsis_aspera_RNA
CUC_Cucurbitopsis_aspera_RNA__02	CUC_Cucurbitopsis_aspera_RNA
CUC_Cucurbitopsis_aspera_RNA__03	CUC_Cucurbitopsis_aspera_RNA
CUC_Cucurbitopsis_aspera_RNA__04	CUC_Cucurbitopsis_aspera_RNA
CUC_Cucurbitopsis_aspera_RNA__05	CUC_Cucurbitopsis_aspera_RNA
CUC_Cyclanthera_mathewsii_RNA	CUC_Cyclanthera_mathewsii_RNA
CUC_Cyclanthera_mathewsii_RNA__00	CUC_Cyclanthera_mathewsii_RNA
CUC_Cyclanthera_mathewsii_RNA__01	CUC_Cyclanthera_mathewsii_RNA
CUC_Cyclanthera_pedata_RNA	CUC_Cyclanthera_pedata_RNA
CUC_Cyclanthera_pedata_RNA__00	CUC_Cyclanthera_pedata_RNA
CUC_Cyclanthera_pedata_RNA__01	CUC_Cyclanthera_pedata_RNA
CUC_Cyclanthera_pedata_RNA__02	CUC_Cyclanthera_pedata_RNA
CUC_Cyclanthera_pedata_RNA__03	CUC_Cyclanthera_pedata_RNA
CUC_Cyclanthera_pedata_RNA__04	CUC_Cyclanthera_pedata_RNA
CUC_Cyclanthera_pedata_RNA__05	CUC_Cyclanthera_pedata_RNA
CUC_Cyclanthera_pedata_SB21_GSK	CUC_Cyclanthera_pedata_SB21_GSK
CUC_Cyclanthera_pedata_SB21_GSK__00	CUC_Cyclanthera_pedata_SB21_GSK
CUC_Cyclanthera_pedata_SB21_GSK__01	CUC_Cyclanthera_pedata_SB21_GSK
CUC_Cyclanthera_pedata_SB21_GSK__02	CUC_Cyclanthera_pedata_SB21_GSK
CUC_Cyclantheropsis_parviflora	CUC_Cyclantheropsis_parviflora
CUC_Cyclantheropsis_parviflora_1_RNA	CUC_Cyclantheropsis_parviflora_1_RNA
CUC_Cyclantheropsis_parviflora_1_RNA__00	CUC_Cyclantheropsis_parviflora_1_RNA
CUC_Cyclantheropsis_parviflora_1_RNA__01	CUC_Cyclantheropsis_parviflora_1_RNA
CUC_Cyclantheropsis_parviflora_1_RNA__02	CUC_Cyclantheropsis_parviflora_1_RNA
CUC_Cyclantheropsis_parviflora_1_RNA__03	CUC_Cyclantheropsis_parviflora_1_RNA
CUC_Cyclantheropsis_parviflora_1_RNA__04	CUC_Cyclantheropsis_parviflora_1_RNA
CUC_Cyclantheropsis_parviflora_1_RNA__05	CUC_Cyclantheropsis_parviflora_1_RNA
CUC_Cyclantheropsis_parviflora_2_RNA	CUC_Cyclantheropsis_parviflora_2_RNA
CUC_Cyclantheropsis_parviflora_2_RNA__00	CUC_Cyclantheropsis_parviflora_2_RNA
CUC_Cyclantheropsis_parviflora_2_RNA__01	CUC_Cyclantheropsis_parviflora_2_RNA
CUC_Cyclantheropsis_parviflora_2_RNA__02	CUC_Cyclantheropsis_parviflora_2_RNA
CUC_Cyclantheropsis_parviflora_2_RNA__03	CUC_Cyclantheropsis_parviflora_2_RNA
CUC_Cyclantheropsis_parviflora_2_RNA__04	CUC_Cyclantheropsis_parviflora_2_RNA
CUC_Cyclantheropsis_parviflora_2_RNA__05	CUC_Cyclantheropsis_parviflora_2_RNA
CUC_Cyclantheropsis_parviflora_SB11_GSK	CUC_Cyclantheropsis_parviflora_SB11_GSK
CUC_Cyclantheropsis_parviflora_SB11_GSK__00	CUC_Cyclantheropsis_parviflora_SB11_GSK
CUC_Cyclantheropsis_parviflora_SB11_GSK__01	CUC_Cyclantheropsis_parviflora_SB11_GSK
CUC_Cyclantheropsis_parviflora_SB11_GSK__02	CUC_Cyclantheropsis_parviflora_SB11_GSK
CUC_Cyclantheropsis_parviflora_SB11_GSK__03	CUC_Cyclantheropsis_parviflora_SB11_GSK
CUC_Cyclantheropsis_parviflora_SB11_GSK__04	CUC_Cyclantheropsis_parviflora_SB11_GSK
CUC_Cyclantheropsis_parviflora_SB11_GSK__05	CUC_Cyclantheropsis_parviflora_SB11_GSK
CUC_Cyclantheropsis_parviflora__00	CUC_Cyclantheropsis_parviflora
CUC_Cyclantheropsis_parviflora__01	CUC_Cyclantheropsis_parviflora
CUC_Cyclantheropsis_parviflora__02	CUC_Cyclantheropsis_parviflora
CUC_Cyclantheropsis_parviflora__03	CUC_Cyclantheropsis_parviflora
CUC_Cyclantheropsis_parviflora__04	CUC_Cyclantheropsis_parviflora
CUC_Cyclantheropsis_parviflora__05	CUC_Cyclantheropsis_parviflora
CUC_Dactyliandra_welwitschii	CUC_Dactyliandra_welwitschii
CUC_Dactyliandra_welwitschii__00	CUC_Dactyliandra_welwitschii
CUC_Dactyliandra_welwitschii__01	CUC_Dactyliandra_welwitschii
CUC_Dactyliandra_welwitschii__02	CUC_Dactyliandra_welwitschii
CUC_Dactyliandra_welwitschii__03	CUC_Dactyliandra_welwitschii
CUC_Dendrosicyos_socotranus	CUC_Dendrosicyos_socotranus
CUC_Dendrosicyos_socotranus_HS5731_WGS	CUC_Dendrosicyos_socotranus_HS5731_WGS
CUC_Dendrosicyos_socotranus_HS5731_WGS__00	CUC_Dendrosicyos_socotranus_HS5731_WGS
CUC_Dendrosicyos_socotranus_HS5731_WGS__01	CUC_Dendrosicyos_socotranus_HS5731_WGS
CUC_Dendrosicyos_socotranus_HS5731_WGS__02	CUC_Dendrosicyos_socotranus_HS5731_WGS
CUC_Dendrosicyos_socotranus_HS5731_WGS__03	CUC_Dendrosicyos_socotranus_HS5731_WGS
CUC_Dendrosicyos_socotranus_SB25_GSK	CUC_Dendrosicyos_socotranus_SB25_GSK
CUC_Dendrosicyos_socotranus_SB25_GSK__00	CUC_Dendrosicyos_socotranus_SB25_GSK
CUC_Dendrosicyos_socotranus_SB25_GSK__01	CUC_Dendrosicyos_socotranus_SB25_GSK
CUC_Dendrosicyos_socotranus__00	CUC_Dendrosicyos_socotranus
CUC_Dendrosicyos_socotranus__01	CUC_Dendrosicyos_socotranus
CUC_Dendrosicyos_socotranus__02	CUC_Dendrosicyos_socotranus
CUC_Dendrosicyos_socotranus__03	CUC_Dendrosicyos_socotranus
CUC_Diplocyclos_palmatus	CUC_Diplocyclos_palmatus
CUC_Diplocyclos_palmatus_RNA	CUC_Diplocyclos_palmatus_RNA
CUC_Diplocyclos_palmatus_RNA__00	CUC_Diplocyclos_palmatus_RNA
CUC_Diplocyclos_palmatus_RNA__01	CUC_Diplocyclos_palmatus_RNA
CUC_Diplocyclos_palmatus_RNA__02	CUC_Diplocyclos_palmatus_RNA
CUC_Diplocyclos_palmatus_RNA__03	CUC_Diplocyclos_palmatus_RNA
CUC_Diplocyclos_palmatus__00	CUC_Diplocyclos_palmatus
CUC_Diplocyclos_palmatus__01	CUC_Diplocyclos_palmatus
CUC_Diplocyclos_palmatus__02	CUC_Diplocyclos_palmatus
CUC_Doyerea_emetocathartica	CUC_Doyerea_emetocathartica
CUC_Doyerea_emetocathartica__00	CUC_Doyerea_emetocathartica
CUC_Doyerea_emetocathartica__01	CUC_Doyerea_emetocathartica
CUC_Doyerea_emetocathartica__02	CUC_Doyerea_emetocathartica
CUC_Doyerea_emetocathartica__03	CUC_Doyerea_emetocathartica
CUC_Doyerea_emetocathartica__04	CUC_Doyerea_emetocathartica
CUC_Doyerea_emetocathartica__05	CUC_Doyerea_emetocathartica
CUC_Doyerea_trifoliata	CUC_Doyerea_trifoliata
CUC_Doyerea_trifoliata__00	CUC_Doyerea_trifoliata
CUC_Doyerea_trifoliata__01	CUC_Doyerea_trifoliata
CUC_Doyerea_trifoliata__02	CUC_Doyerea_trifoliata
CUC_Doyerea_trifoliata__03	CUC_Doyerea_trifoliata
CUC_Doyerea_trifoliata__04	CUC_Doyerea_trifoliata
CUC_Doyerea_trifoliata__05	CUC_Doyerea_trifoliata
CUC_Ecballium_elaterium	CUC_Ecballium_elaterium
CUC_Ecballium_elaterium_RNA	CUC_Ecballium_elaterium_RNA
CUC_Ecballium_elaterium_RNA__00	CUC_Ecballium_elaterium_RNA
CUC_Ecballium_elaterium_RNA__01	CUC_Ecballium_elaterium_RNA
CUC_Ecballium_elaterium_RNA__02	CUC_Ecballium_elaterium_RNA
CUC_Ecballium_elaterium_RNA__03	CUC_Ecballium_elaterium_RNA
CUC_Ecballium_elaterium_RNA__04	CUC_Ecballium_elaterium_RNA
CUC_Ecballium_elaterium_RNA__05	CUC_Ecballium_elaterium_RNA
CUC_Ecballium_elaterium__00	CUC_Ecballium_elaterium
CUC_Ecballium_elaterium__01	CUC_Ecballium_elaterium
CUC_Ecballium_elaterium__02	CUC_Ecballium_elaterium
CUC_Ecballium_elaterium__03	CUC_Ecballium_elaterium
CUC_Ecballium_elaterium__04	CUC_Ecballium_elaterium
CUC_Ecballium_elaterium__05	CUC_Ecballium_elaterium
CUC_Echinocystis_lobata	CUC_Echinocystis_lobata
CUC_Echinocystis_lobata_RNA	CUC_Echinocystis_lobata_RNA
CUC_Echinocystis_lobata_RNA__00	CUC_Echinocystis_lobata_RNA
CUC_Echinocystis_lobata_RNA__01	CUC_Echinocystis_lobata_RNA
CUC_Echinocystis_lobata_RNA__02	CUC_Echinocystis_lobata_RNA
CUC_Echinocystis_lobata_RNA__03	CUC_Echinocystis_lobata_RNA
CUC_Echinocystis_lobata_RNA__04	CUC_Echinocystis_lobata_RNA
CUC_Echinocystis_lobata_RNA__05	CUC_Echinocystis_lobata_RNA
CUC_Echinocystis_lobata__00	CUC_Echinocystis_lobata
CUC_Echinocystis_lobata__01	CUC_Echinocystis_lobata
CUC_Echinocystis_lobata__02	CUC_Echinocystis_lobata
CUC_Echinocystis_lobata__03	CUC_Echinocystis_lobata
CUC_Echinocystis_lobata__04	CUC_Echinocystis_lobata
CUC_Echinocystis_lobata__05	CUC_Echinocystis_lobata
CUC_Echinopepon_bigelovii	CUC_Echinopepon_bigelovii
CUC_Echinopepon_bigelovii_RNA	CUC_Echinopepon_bigelovii_RNA
CUC_Echinopepon_bigelovii_RNA__00	CUC_Echinopepon_bigelovii_RNA
CUC_Echinopepon_bigelovii_RNA__01	CUC_Echinopepon_bigelovii_RNA
CUC_Echinopepon_bigelovii_RNA__02	CUC_Echinopepon_bigelovii_RNA
CUC_Echinopepon_bigelovii_RNA__03	CUC_Echinopepon_bigelovii_RNA
CUC_Echinopepon_bigelovii_RNA__04	CUC_Echinopepon_bigelovii_RNA
CUC_Echinopepon_bigelovii_RNA__05	CUC_Echinopepon_bigelovii_RNA
CUC_Echinopepon_bigelovii__00	CUC_Echinopepon_bigelovii
CUC_Echinopepon_bigelovii__01	CUC_Echinopepon_bigelovii
CUC_Echinopepon_bigelovii__02	CUC_Echinopepon_bigelovii
CUC_Echinopepon_bigelovii__03	CUC_Echinopepon_bigelovii
CUC_Echinopepon_bigelovii__04	CUC_Echinopepon_bigelovii
CUC_Echinopepon_bigelovii__05	CUC_Echinopepon_bigelovii
CUC_Echinopepon_milliflorus	CUC_Echinopepon_milliflorus
CUC_Echinopepon_milliflorus__00	CUC_Echinopepon_milliflorus
CUC_Echinopepon_milliflorus__01	CUC_Echinopepon_milliflorus
CUC_Echinopepon_milliflorus__02	CUC_Echinopepon_milliflorus
CUC_Echinopepon_milliflorus__03	CUC_Echinopepon_milliflorus
CUC_Echinopepon_milliflorus__04	CUC_Echinopepon_milliflorus
CUC_Echinopepon_milliflorus__05	CUC_Echinopepon_milliflorus
CUC_Eureiandra_eburnea	CUC_Eureiandra_eburnea
CUC_Eureiandra_eburnea__00	CUC_Eureiandra_eburnea
CUC_Eureiandra_eburnea__01	CUC_Eureiandra_eburnea
CUC_Eureiandra_eburnea__02	CUC_Eureiandra_eburnea
CUC_Eureiandra_eburnea__03	CUC_Eureiandra_eburnea
CUC_Eureiandra_eburnea__04	CUC_Eureiandra_eburnea
CUC_Eureiandra_eburnea__05	CUC_Eureiandra_eburnea
CUC_Fevillea_cordifolia_WGS	CUC_Fevillea_cordifolia_WGS
CUC_Fevillea_cordifolia_WGS__00	CUC_Fevillea_cordifolia_WGS
CUC_Fevillea_cordifolia_WGS__01	CUC_Fevillea_cordifolia_WGS
CUC_Fevillea_cordifolia_WGS__02	CUC_Fevillea_cordifolia_WGS
CUC_Fevillea_cordifolia_WGS__03	CUC_Fevillea_cordifolia_WGS
CUC_Fevillea_cordifolia_WGS__04	CUC_Fevillea_cordifolia_WGS
CUC_Fevillea_cordifolia_WGS__05	CUC_Fevillea_cordifolia_WGS
CUC_Fevillea_pedatifolia_GSK	CUC_Fevillea_pedatifolia_GSK
CUC_Fevillea_pedatifolia_GSK__00	CUC_Fevillea_pedatifolia_GSK
CUC_Fevillea_pedatifolia_GSK__01	CUC_Fevillea_pedatifolia_GSK
CUC_Fevillea_pedatifolia_GSK__02	CUC_Fevillea_pedatifolia_GSK
CUC_Fevillea_pedatifolia_GSK__03	CUC_Fevillea_pedatifolia_GSK
CUC_Fevillea_pedatifolia_GSK__04	CUC_Fevillea_pedatifolia_GSK
CUC_Fevillea_pedatifolia_GSK__05	CUC_Fevillea_pedatifolia_GSK
CUC_Fevillea_pergamentacea	CUC_Fevillea_pergamentacea
CUC_Fevillea_pergamentacea__00	CUC_Fevillea_pergamentacea
CUC_Fevillea_pergamentacea__01	CUC_Fevillea_pergamentacea
CUC_Fevillea_pergamentacea__02	CUC_Fevillea_pergamentacea
CUC_Fevillea_pergamentacea__03	CUC_Fevillea_pergamentacea
CUC_Fevillea_pergamentacea__04	CUC_Fevillea_pergamentacea
CUC_Fevillea_pergamentacea__05	CUC_Fevillea_pergamentacea
CUC_Frantzia_pittieri_RNA	CUC_Frantzia_pittieri_RNA
CUC_Frantzia_pittieri_RNA__00	CUC_Frantzia_pittieri_RNA
CUC_Frantzia_pittieri_RNA__01	CUC_Frantzia_pittieri_RNA
CUC_Frantzia_pittieri_RNA__02	CUC_Frantzia_pittieri_RNA
CUC_Frantzia_pittieri_RNA__03	CUC_Frantzia_pittieri_RNA
CUC_Frantzia_pittieri_RNA__04	CUC_Frantzia_pittieri_RNA
CUC_Frantzia_pittieri_RNA__05	CUC_Frantzia_pittieri_RNA
CUC_Frantzia_tacaco	CUC_Frantzia_tacaco
CUC_Frantzia_tacaco__00	CUC_Frantzia_tacaco
CUC_Frantzia_tacaco__01	CUC_Frantzia_tacaco
CUC_Frantzia_tacaco__02	CUC_Frantzia_tacaco
CUC_Gerrardanthus_lobatus_RNA	CUC_Gerrardanthus_lobatus_RNA
CUC_Gerrardanthus_lobatus_RNA__00	CUC_Gerrardanthus_lobatus_RNA
CUC_Gerrardanthus_lobatus_RNA__01	CUC_Gerrardanthus_lobatus_RNA
CUC_Gerrardanthus_lobatus_RNA__02	CUC_Gerrardanthus_lobatus_RNA
CUC_Gerrardanthus_lobatus_RNA__03	CUC_Gerrardanthus_lobatus_RNA
CUC_Gerrardanthus_lobatus_RNA__04	CUC_Gerrardanthus_lobatus_RNA
CUC_Gerrardanthus_macrorhizus	CUC_Gerrardanthus_macrorhizus
CUC_Gerrardanthus_macrorhizus_RNA	CUC_Gerrardanthus_macrorhizus_RNA
CUC_Gerrardanthus_macrorhizus_RNA__00	CUC_Gerrardanthus_macrorhizus_RNA
CUC_Gerrardanthus_macrorhizus_RNA__01	CUC_Gerrardanthus_macrorhizus_RNA
CUC_Gerrardanthus_macrorhizus_RNA__02	CUC_Gerrardanthus_macrorhizus_RNA
CUC_Gerrardanthus_macrorhizus_RNA__03	CUC_Gerrardanthus_macrorhizus_RNA
CUC_Gerrardanthus_macrorhizus_SB22_GSK	CUC_Gerrardanthus_macrorhizus_SB22_GSK
CUC_Gerrardanthus_macrorhizus_SB22_GSK__00	CUC_Gerrardanthus_macrorhizus_SB22_GSK
CUC_Gerrardanthus_macrorhizus_SB22_GSK__01	CUC_Gerrardanthus_macrorhizus_SB22_GSK
CUC_Gerrardanthus_macrorhizus_SB22_GSK__02	CUC_Gerrardanthus_macrorhizus_SB22_GSK
CUC_Gerrardanthus_macrorhizus_SB22_GSK__03	CUC_Gerrardanthus_macrorhizus_SB22_GSK
CUC_Gerrardanthus_macrorhizus_SB22_GSK__04	CUC_Gerrardanthus_macrorhizus_SB22_GSK
CUC_Gerrardanthus_macrorhizus_SB22_GSK__05	CUC_Gerrardanthus_macrorhizus_SB22_GSK
CUC_Gerrardanthus_macrorhizus__00	CUC_Gerrardanthus_macrorhizus
CUC_Gerrardanthus_macrorhizus__01	CUC_Gerrardanthus_macrorhizus
CUC_Gerrardanthus_macrorhizus__02	CUC_Gerrardanthus_macrorhizus
CUC_Gerrardanthus_macrorhizus__03	CUC_Gerrardanthus_macrorhizus
CUC_Gerrardanthus_macrorhizus__04	CUC_Gerrardanthus_macrorhizus
CUC_Gomphogyne_cissiformis	CUC_Gomphogyne_cissiformis
CUC_Gomphogyne_cissiformis_RNA	CUC_Gomphogyne_cissiformis_RNA
CUC_Gomphogyne_cissiformis_RNA__00	CUC_Gomphogyne_cissiformis_RNA
CUC_Gomphogyne_cissiformis_RNA__01	CUC_Gomphogyne_cissiformis_RNA
CUC_Gomphogyne_cissiformis_RNA__02	CUC_Gomphogyne_cissiformis_RNA
CUC_Gomphogyne_cissiformis_RNA__03	CUC_Gomphogyne_cissiformis_RNA
CUC_Gomphogyne_cissiformis_RNA__04	CUC_Gomphogyne_cissiformis_RNA
CUC_Gomphogyne_cissiformis_RNA__05	CUC_Gomphogyne_cissiformis_RNA
CUC_Gomphogyne_cissiformis__00	CUC_Gomphogyne_cissiformis
CUC_Gomphogyne_cissiformis__01	CUC_Gomphogyne_cissiformis
CUC_Gomphogyne_cissiformis__02	CUC_Gomphogyne_cissiformis
CUC_Gurania_lobata_GJ079_RNA	CUC_Gurania_lobata_GJ079_RNA
CUC_Gurania_lobata_GJ079_RNA__00	CUC_Gurania_lobata_GJ079_RNA
CUC_Gurania_lobata_GJ079_RNA__01	CUC_Gurania_lobata_GJ079_RNA
CUC_Gurania_lobata_GJ079_RNA__02	CUC_Gurania_lobata_GJ079_RNA
CUC_Gurania_lobata_GJ079_RNA__03	CUC_Gurania_lobata_GJ079_RNA
CUC_Gurania_lobata_GJ079_RNA__04	CUC_Gurania_lobata_GJ079_RNA
CUC_Gurania_lobata_GJ079_RNA__05	CUC_Gurania_lobata_GJ079_RNA
CUC_Gurania_subumbellata	CUC_Gurania_subumbellata
CUC_Gurania_subumbellata__00	CUC_Gurania_subumbellata
CUC_Gurania_subumbellata__01	CUC_Gurania_subumbellata
CUC_Gurania_subumbellata__02	CUC_Gurania_subumbellata
CUC_Gynostemma_aggregatum_RNA	CUC_Gynostemma_aggregatum_RNA
CUC_Gynostemma_aggregatum_RNA__00	CUC_Gynostemma_aggregatum_RNA
CUC_Gynostemma_aggregatum_RNA__01	CUC_Gynostemma_aggregatum_RNA
CUC_Gynostemma_aggregatum_RNA__02	CUC_Gynostemma_aggregatum_RNA
CUC_Gynostemma_aggregatum_RNA__03	CUC_Gynostemma_aggregatum_RNA
CUC_Gynostemma_aggregatum_RNA__04	CUC_Gynostemma_aggregatum_RNA
CUC_Gynostemma_aggregatum_RNA__05	CUC_Gynostemma_aggregatum_RNA
CUC_Gynostemma_burmanicum	CUC_Gynostemma_burmanicum
CUC_Gynostemma_burmanicum_SB16_GSK	CUC_Gynostemma_burmanicum_SB16_GSK
CUC_Gynostemma_burmanicum_SB16_GSK__00	CUC_Gynostemma_burmanicum_SB16_GSK
CUC_Gynostemma_burmanicum_SB16_GSK__01	CUC_Gynostemma_burmanicum_SB16_GSK
CUC_Gynostemma_burmanicum_SB16_GSK__02	CUC_Gynostemma_burmanicum_SB16_GSK
CUC_Gynostemma_burmanicum_SB16_GSK__03	CUC_Gynostemma_burmanicum_SB16_GSK
CUC_Gynostemma_burmanicum_SB16_GSK__04	CUC_Gynostemma_burmanicum_SB16_GSK
CUC_Gynostemma_burmanicum_SB16_GSK__05	CUC_Gynostemma_burmanicum_SB16_GSK
CUC_Gynostemma_burmanicum__00	CUC_Gynostemma_burmanicum
CUC_Gynostemma_burmanicum__01	CUC_Gynostemma_burmanicum
CUC_Gynostemma_burmanicum__02	CUC_Gynostemma_burmanicum
CUC_Gynostemma_burmanicum__03	CUC_Gynostemma_burmanicum
CUC_Gynostemma_burmanicum__04	CUC_Gynostemma_burmanicum
CUC_Gynostemma_burmanicum__05	CUC_Gynostemma_burmanicum
CUC_Gynostemma_cardiospermum_RNA	CUC_Gynostemma_cardiospermum_RNA
CUC_Gynostemma_cardiospermum_RNA__00	CUC_Gynostemma_cardiospermum_RNA
CUC_Gynostemma_cardiospermum_RNA__01	CUC_Gynostemma_cardiospermum_RNA
CUC_Gynostemma_cardiospermum_RNA__02	CUC_Gynostemma_cardiospermum_RNA
CUC_Gynostemma_cardiospermum_RNA__03	CUC_Gynostemma_cardiospermum_RNA
CUC_Gynostemma_cardiospermum_RNA__04	CUC_Gynostemma_cardiospermum_RNA
CUC_Gynostemma_compressum_RNA	CUC_Gynostemma_compressum_RNA
CUC_Gynostemma_compressum_RNA__00	CUC_Gynostemma_compressum_RNA
CUC_Gynostemma_compressum_RNA__01	CUC_Gynostemma_compressum_RNA
CUC_Gynostemma_compressum_RNA__02	CUC_Gynostemma_compressum_RNA
CUC_Gynostemma_compressum_RNA__03	CUC_Gynostemma_compressum_RNA
CUC_Gynostemma_compressum_RNA__04	CUC_Gynostemma_compressum_RNA
CUC_Gynostemma_compressum_RNA__05	CUC_Gynostemma_compressum_RNA
CUC_Gynostemma_laxum_RNA	CUC_Gynostemma_laxum_RNA
CUC_Gynostemma_laxum_RNA__00	CUC_Gynostemma_laxum_RNA
CUC_Gynostemma_laxum_RNA__01	CUC_Gynostemma_laxum_RNA
CUC_Gynostemma_laxum_RNA__02	CUC_Gynostemma_laxum_RNA
CUC_Gynostemma_laxum_RNA__03	CUC_Gynostemma_laxum_RNA
CUC_Gynostemma_laxum_RNA__04	CUC_Gynostemma_laxum_RNA
CUC_Gynostemma_laxum_RNA__05	CUC_Gynostemma_laxum_RNA
CUC_Gynostemma_longipes_leaf_RNA	CUC_Gynostemma_longipes_leaf_RNA
CUC_Gynostemma_longipes_leaf_RNA__00	CUC_Gynostemma_longipes_leaf_RNA
CUC_Gynostemma_longipes_leaf_RNA__01	CUC_Gynostemma_longipes_leaf_RNA
CUC_Gynostemma_longipes_leaf_RNA__02	CUC_Gynostemma_longipes_leaf_RNA
CUC_Gynostemma_longipes_leaf_RNA__03	CUC_Gynostemma_longipes_leaf_RNA
CUC_Gynostemma_longipes_leaf_RNA__04	CUC_Gynostemma_longipes_leaf_RNA
CUC_Gynostemma_longipes_leaf_RNA__05	CUC_Gynostemma_longipes_leaf_RNA
CUC_Gynostemma_longipes_rattan_RNA	CUC_Gynostemma_longipes_rattan_RNA
CUC_Gynostemma_longipes_rattan_RNA__00	CUC_Gynostemma_longipes_rattan_RNA
CUC_Gynostemma_longipes_rattan_RNA__01	CUC_Gynostemma_longipes_rattan_RNA
CUC_Gynostemma_longipes_rattan_RNA__02	CUC_Gynostemma_longipes_rattan_RNA
CUC_Gynostemma_longipes_rattan_RNA__03	CUC_Gynostemma_longipes_rattan_RNA
CUC_Gynostemma_longipes_rattan_RNA__04	CUC_Gynostemma_longipes_rattan_RNA
CUC_Gynostemma_longipes_rattan_RNA__05	CUC_Gynostemma_longipes_rattan_RNA
CUC_Gynostemma_longipes_stolon_RNA	CUC_Gynostemma_longipes_stolon_RNA
CUC_Gynostemma_longipes_stolon_RNA__00	CUC_Gynostemma_longipes_stolon_RNA
CUC_Gynostemma_longipes_stolon_RNA__01	CUC_Gynostemma_longipes_stolon_RNA
CUC_Gynostemma_longipes_stolon_RNA__02	CUC_Gynostemma_longipes_stolon_RNA
CUC_Gynostemma_longipes_stolon_RNA__03	CUC_Gynostemma_longipes_stolon_RNA
CUC_Gynostemma_longipes_stolon_RNA__04	CUC_Gynostemma_longipes_stolon_RNA
CUC_Gynostemma_longipes_stolon_RNA__05	CUC_Gynostemma_longipes_stolon_RNA
CUC_Gynostemma_microspermum_GJ058_RNA	CUC_Gynostemma_microspermum_GJ058_RNA
CUC_Gynostemma_microspermum_GJ058_RNA__00	CUC_Gynostemma_microspermum_GJ058_RNA
CUC_Gynostemma_microspermum_GJ058_RNA__01	CUC_Gynostemma_microspermum_GJ058_RNA
CUC_Gynostemma_microspermum_GJ058_RNA__02	CUC_Gynostemma_microspermum_GJ058_RNA
CUC_Gynostemma_microspermum_GSK	CUC_Gynostemma_microspermum_GSK
CUC_Gynostemma_microspermum_GSK__00	CUC_Gynostemma_microspermum_GSK
CUC_Gynostemma_microspermum_GSK__01	CUC_Gynostemma_microspermum_GSK
CUC_Gynostemma_microspermum_GSK__02	CUC_Gynostemma_microspermum_GSK
CUC_Gynostemma_microspermum_GSK__03	CUC_Gynostemma_microspermum_GSK
CUC_Gynostemma_microspermum_GSK__04	CUC_Gynostemma_microspermum_GSK
CUC_Gynostemma_microspermum_GSK__05	CUC_Gynostemma_microspermum_GSK
CUC_Gynostemma_pentaphyllum_RNA	CUC_Gynostemma_pentaphyllum_RNA
CUC_Gynostemma_pentaphyllum_RNA__00	CUC_Gynostemma_pentaphyllum_RNA
CUC_Gynostemma_pentaphyllum_RNA__01	CUC_Gynostemma_pentaphyllum_RNA
CUC_Gynostemma_pentaphyllum_RNA__02	CUC_Gynostemma_pentaphyllum_RNA
CUC_Gynostemma_pentaphyllum_RNA__03	CUC_Gynostemma_pentaphyllum_RNA
CUC_Gynostemma_pentaphyllum_RNA__04	CUC_Gynostemma_pentaphyllum_RNA
CUC_Gynostemma_pentaphyllum_RNA__05	CUC_Gynostemma_pentaphyllum_RNA
CUC_Gynostemma_pubescens_RNA	CUC_Gynostemma_pubescens_RNA
CUC_Gynostemma_pubescens_RNA__00	CUC_Gynostemma_pubescens_RNA
CUC_Gynostemma_pubescens_RNA__01	CUC_Gynostemma_pubescens_RNA
CUC_Gynostemma_pubescens_RNA__02	CUC_Gynostemma_pubescens_RNA
CUC_Gynostemma_pubescens_RNA__03	CUC_Gynostemma_pubescens_RNA
CUC_Gynostemma_pubescens_RNA__04	CUC_Gynostemma_pubescens_RNA
CUC_Gynostemma_pubescens_RNA__05	CUC_Gynostemma_pubescens_RNA
CUC_Gynostemma_yixingense_WGS	CUC_Gynostemma_yixingense_WGS
CUC_Gynostemma_yixingense_WGS__00	CUC_Gynostemma_yixingense_WGS
CUC_Gynostemma_yixingense_WGS__01	CUC_Gynostemma_yixingense_WGS
CUC_Gynostemma_yixingense_WGS__02	CUC_Gynostemma_yixingense_WGS
