AALA__ref	AALA__ref
CUC_Actinostemma_paniculatum_RNA__04	CUC_Actinostemma_paniculatum_RNA
CUC_Actinostemma_paniculatum_RNA__05	CUC_Actinostemma_paniculatum_RNA
CUC_Actinostemma_tenerum_RNA	CUC_Actinostemma_tenerum_RNA
CUC_Actinostemma_tenerum_RNA__00	CUC_Actinostemma_tenerum_RNA
CUC_Actinostemma_tenerum_RNA__01	CUC_Actinostemma_tenerum_RNA
CUC_Actinostemma_tenerum_RNA__02	CUC_Actinostemma_tenerum_RNA
CUC_Actinostemma_tenerum_RNA__03	CUC_Actinostemma_tenerum_RNA
CUC_Actinostemma_tenerum_RNA__04	CUC_Actinostemma_tenerum_RNA
CUC_Alsomitra_macrocarpa	CUC_Alsomitra_macrocarpa
CUC_Alsomitra_macrocarpa__00	CUC_Alsomitra_macrocarpa
CUC_Alsomitra_macrocarpa__01	CUC_Alsomitra_macrocarpa
CUC_Ampelosicyos_humblotii_1	CUC_Ampelosicyos_humblotii_1
CUC_Ampelosicyos_humblotii_1__00	CUC_Ampelosicyos_humblotii_1
CUC_Ampelosicyos_humblotii_1__01	CUC_Ampelosicyos_humblotii_1
CUC_Ampelosicyos_humblotii_1__02	CUC_Ampelosicyos_humblotii_1
CUC_Ampelosicyos_humblotii_1__03	CUC_Ampelosicyos_humblotii_1
CUC_Ampelosicyos_humblotii_1__04	CUC_Ampelosicyos_humblotii_1
CUC_Ampelosicyos_humblotii_1__05	CUC_Ampelosicyos_humblotii_1
CUC_Ampelosicyos_humblotii_2	CUC_Ampelosicyos_humblotii_2
CUC_Ampelosicyos_humblotii_2__00	CUC_Ampelosicyos_humblotii_2
CUC_Ampelosicyos_humblotii_2__01	CUC_Ampelosicyos_humblotii_2
CUC_Ampelosicyos_humblotii_2__02	CUC_Ampelosicyos_humblotii_2
CUC_Ampelosicyos_humblotii_2__03	CUC_Ampelosicyos_humblotii_2
CUC_Ampelosicyos_humblotii_2__04	CUC_Ampelosicyos_humblotii_2
CUC_Ampelosicyos_humblotii_SB12_GSK	CUC_Ampelosicyos_humblotii_SB12_GSK
CUC_Ampelosicyos_humblotii_SB12_GSK__00	CUC_Ampelosicyos_humblotii_SB12_GSK
CUC_Ampelosicyos_humblotii_SB12_GSK__01	CUC_Ampelosicyos_humblotii_SB12_GSK
CUC_Ampelosicyos_humblotii_SB12_GSK__02	CUC_Ampelosicyos_humblotii_SB12_GSK
CUC_Apodanthera_sp_HS5725_WGS	CUC_Apodanthera_sp_HS5725_WGS
CUC_Apodanthera_sp_HS5725_WGS__00	CUC_Apodanthera_sp_HS5725_WGS
CUC_Apodanthera_sp_HS5725_WGS__01	CUC_Apodanthera_sp_HS5725_WGS
CUC_Apodanthera_sp_HS5725_WGS__02	CUC_Apodanthera_sp_HS5725_WGS
CUC_Apodanthera_sp_HS5725_WGS__03	CUC_Apodanthera_sp_HS5725_WGS
CUC_Austrobryonia_argillicola	CUC_Austrobryonia_argillicola
CUC_Austrobryonia_argillicola__00	CUC_Austrobryonia_argillicola
CUC_Austrobryonia_argillicola__01	CUC_Austrobryonia_argillicola
CUC_Austrobryonia_argillicola__02	CUC_Austrobryonia_argillicola
CUC_Baijiania_taiwaniana_RNA	CUC_Baijiania_taiwaniana_RNA
CUC_Baijiania_taiwaniana_RNA__00	CUC_Baijiania_taiwaniana_RNA
CUC_Baijiania_taiwaniana_RNA__01	CUC_Baijiania_taiwaniana_RNA
CUC_Baijiania_taiwaniana_RNA__02	CUC_Baijiania_taiwaniana_RNA
CUC_Baijiania_yunnanensis	CUC_Baijiania_yunnanensis
CUC_Baijiania_yunnanensis_HS2656_GSK	CUC_Baijiania_yunnanensis_HS2656_GSK
CUC_Baijiania_yunnanensis_HS2656_GSK__00	CUC_Baijiania_yunnanensis_HS2656_GSK
CUC_Baijiania_yunnanensis_HS2656_GSK__01	CUC_Baijiania_yunnanensis_HS2656_GSK
CUC_Baijiania_yunnanensis_HS2656_GSK__02	CUC_Baijiania_yunnanensis_HS2656_GSK
CUC_Baijiania_yunnanensis_HS2656_GSK__03	CUC_Baijiania_yunnanensis_HS2656_GSK
CUC_Baijiania_yunnanensis_HS2656_GSK__04	CUC_Baijiania_yunnanensis_HS2656_GSK
CUC_Baijiania_yunnanensis_HS2656_GSK__05	CUC_Baijiania_yunnanensis_HS2656_GSK
CUC_Baijiania_yunnanensis_RNA	CUC_Baijiania_yunnanensis_RNA
CUC_Baijiania_yunnanensis_RNA__00	CUC_Baijiania_yunnanensis_RNA
CUC_Baijiania_yunnanensis_RNA__01	CUC_Baijiania_yunnanensis_RNA
CUC_Baijiania_yunnanensis_RNA__02	CUC_Baijiania_yunnanensis_RNA
CUC_Baijiania_yunnanensis_RNA__03	CUC_Baijiania_yunnanensis_RNA
CUC_Baijiania_yunnanensis_RNA__04	CUC_Baijiania_yunnanensis_RNA
CUC_Baijiania_yunnanensis_RNA__05	CUC_Baijiania_yunnanensis_RNA
CUC_Baijiania_yunnanensis__00	CUC_Baijiania_yunnanensis
CUC_Baijiania_yunnanensis__01	CUC_Baijiania_yunnanensis
CUC_Baijiania_yunnanensis__02	CUC_Baijiania_yunnanensis
CUC_Baijiania_yunnanensis__03	CUC_Baijiania_yunnanensis
CUC_Baijiania_yunnanensis__04	CUC_Baijiania_yunnanensis
CUC_Baijiania_yunnanensis__05	CUC_Baijiania_yunnanensis
CUC_Bambekea_racemosa_HS5726_WGS	CUC_Bambekea_racemosa_HS5726_WGS
CUC_Bambekea_racemosa_HS5726_WGS__00	CUC_Bambekea_racemosa_HS5726_WGS
CUC_Bambekea_racemosa_HS5726_WGS__01	CUC_Bambekea_racemosa_HS5726_WGS
CUC_Bambekea_racemosa_HS5726_WGS__02	CUC_Bambekea_racemosa_HS5726_WGS
CUC_Bambekea_racemosa_HS5726_WGS__03	CUC_Bambekea_racemosa_HS5726_WGS
CUC_Bayabusua_clarkei	CUC_Bayabusua_clarkei
CUC_Bayabusua_clarkei__00	CUC_Bayabusua_clarkei
CUC_Bayabusua_clarkei__01	CUC_Bayabusua_clarkei
CUC_Bayabusua_clarkei__02	CUC_Bayabusua_clarkei
CUC_Bayabusua_clarkei__03	CUC_Bayabusua_clarkei
CUC_Bayabusua_clarkei__04	CUC_Bayabusua_clarkei
CUC_Bayabusua_clarkei__05	CUC_Bayabusua_clarkei
CUC_Benincasa_hispida	CUC_Benincasa_hispida
CUC_Benincasa_hispida_RNA	CUC_Benincasa_hispida_RNA
CUC_Benincasa_hispida_RNA__00	CUC_Benincasa_hispida_RNA
CUC_Benincasa_hispida_RNA__01	CUC_Benincasa_hispida_RNA
CUC_Benincasa_hispida_RNA__02	CUC_Benincasa_hispida_RNA
CUC_Benincasa_hispida_RNA__03	CUC_Benincasa_hispida_RNA
CUC_Benincasa_hispida_RNA__04	CUC_Benincasa_hispida_RNA
CUC_Benincasa_hispida__00	CUC_Benincasa_hispida
CUC_Benincasa_hispida__01	CUC_Benincasa_hispida
CUC_Benincasa_hispida__02	CUC_Benincasa_hispida
CUC_Benincasa_hispida__03	CUC_Benincasa_hispida
CUC_Blastania_cerasiformis	CUC_Blastania_cerasiformis
CUC_Blastania_cerasiformis__00	CUC_Blastania_cerasiformis
CUC_Blastania_cerasiformis__01	CUC_Blastania_cerasiformis
CUC_Blastania_cerasiformis__02	CUC_Blastania_cerasiformis
CUC_Blastania_cerasiformis__03	CUC_Blastania_cerasiformis
CUC_Borneosicyos_simplex	CUC_Borneosicyos_simplex
CUC_Borneosicyos_simplex__00	CUC_Borneosicyos_simplex
CUC_Borneosicyos_simplex__01	CUC_Borneosicyos_simplex
CUC_Borneosicyos_simplex__02	CUC_Borneosicyos_simplex
CUC_Borneosicyos_simplex__03	CUC_Borneosicyos_simplex
CUC_Borneosicyos_simplex__04	CUC_Borneosicyos_simplex
CUC_Bryonia_dioica_GSK	CUC_Bryonia_dioica_GSK
CUC_Bryonia_dioica_GSK__00	CUC_Bryonia_dioica_GSK
CUC_Bryonia_dioica_GSK__01	CUC_Bryonia_dioica_GSK
CUC_Bryonia_dioica_RNA	CUC_Bryonia_dioica_RNA
CUC_Bryonia_dioica_RNA__00	CUC_Bryonia_dioica_RNA
CUC_Bryonia_dioica_RNA__01	CUC_Bryonia_dioica_RNA
CUC_Bryonia_dioica_RNA__02	CUC_Bryonia_dioica_RNA
CUC_Bryonia_dioica_RNA__03	CUC_Bryonia_dioica_RNA
CUC_Bryonia_marmorata	CUC_Bryonia_marmorata
CUC_Bryonia_marmorata_SB24_GSK	CUC_Bryonia_marmorata_SB24_GSK
CUC_Bryonia_marmorata_SB24_GSK__00	CUC_Bryonia_marmorata_SB24_GSK
CUC_Bryonia_marmorata_SB24_GSK__01	CUC_Bryonia_marmorata_SB24_GSK
CUC_Bryonia_marmorata_SB24_GSK__02	CUC_Bryonia_marmorata_SB24_GSK
CUC_Bryonia_marmorata__00	CUC_Bryonia_marmorata
CUC_Bryonia_marmorata__01	CUC_Bryonia_marmorata
CUC_Bryonia_marmorata__02	CUC_Bryonia_marmorata
CUC_Bryonia_marmorata__03	CUC_Bryonia_marmorata
CUC_Bryonia_marmorata__04	CUC_Bryonia_marmorata
CUC_Bryonia_marmorata__05	CUC_Bryonia_marmorata
CUC_Calycophysum_brevipes	CUC_Calycophysum_brevipes
CUC_Calycophysum_brevipes__00	CUC_Calycophysum_brevipes
CUC_Calycophysum_brevipes__01	CUC_Calycophysum_brevipes
CUC_Calycophysum_brevipes__02	CUC_Calycophysum_brevipes
CUC_Calycophysum_brevipes__03	CUC_Calycophysum_brevipes
CUC_Calycophysum_brevipes__04	CUC_Calycophysum_brevipes
CUC_Cayaponia_cordata_HM3711_RNA	CUC_Cayaponia_cordata_HM3711_RNA
CUC_Cayaponia_cordata_HM3711_RNA__00	CUC_Cayaponia_cordata_HM3711_RNA
CUC_Cayaponia_cordata_HM3711_RNA__01	CUC_Cayaponia_cordata_HM3711_RNA
CUC_Cayaponia_cordata_HM3711_RNA__02	CUC_Cayaponia_cordata_HM3711_RNA
CUC_Cayaponia_cordata_HM3711_RNA__03	CUC_Cayaponia_cordata_HM3711_RNA
CUC_Cayaponia_cordata_HM3711_RNA__04	CUC_Cayaponia_cordata_HM3711_RNA
CUC_Cayaponia_cordata_HM3711_RNA__05	CUC_Cayaponia_cordata_HM3711_RNA
CUC_Cayaponia_domingensis	CUC_Cayaponia_domingensis
CUC_Cayaponia_domingensis__00	CUC_Cayaponia_domingensis
CUC_Cayaponia_domingensis__01	CUC_Cayaponia_domingensis
CUC_Cayaponia_domingensis__02	CUC_Cayaponia_domingensis
CUC_Cayaponia_domingensis__03	CUC_Cayaponia_domingensis
CUC_Cayaponia_domingensis__04	CUC_Cayaponia_domingensis
CUC_Cayaponia_domingensis__05	CUC_Cayaponia_domingensis
CUC_Cayaponia_racemosa_RNA	CUC_Cayaponia_racemosa_RNA
CUC_Cayaponia_racemosa_RNA__00	CUC_Cayaponia_racemosa_RNA
CUC_Cayaponia_racemosa_RNA__01	CUC_Cayaponia_racemosa_RNA
CUC_Cayaponia_racemosa_RNA__02	CUC_Cayaponia_racemosa_RNA
CUC_Cayaponia_racemosa_RNA__03	CUC_Cayaponia_racemosa_RNA
CUC_Cayaponia_racemosa_RNA__04	CUC_Cayaponia_racemosa_RNA
CUC_Cayaponia_racemosa_RNA__05	CUC_Cayaponia_racemosa_RNA
CUC_Cayaponia_selysioides	CUC_Cayaponia_selysioides
CUC_Cayaponia_selysioides__00	CUC_Cayaponia_selysioides
CUC_Cayaponia_selysioides__01	CUC_Cayaponia_selysioides
CUC_Cayaponia_selysioides__02	CUC_Cayaponia_selysioides
CUC_Cayaponia_selysioides__03	CUC_Cayaponia_selysioides
CUC_Cayaponia_selysioides__04	CUC_Cayaponia_selysioides
CUC_Cayaponia_selysioides__05	CUC_Cayaponia_selysioides
CUC_Cephalopentandra_ecirrhosa	CUC_Cephalopentandra_ecirrhosa
CUC_Cephalopentandra_ecirrhosa_RNA	CUC_Cephalopentandra_ecirrhosa_RNA
CUC_Cephalopentandra_ecirrhosa_RNA__00	CUC_Cephalopentandra_ecirrhosa_RNA
CUC_Cephalopentandra_ecirrhosa_RNA__01	CUC_Cephalopentandra_ecirrhosa_RNA
CUC_Cephalopentandra_ecirrhosa_RNA__02	CUC_Cephalopentandra_ecirrhosa_RNA
CUC_Cephalopentandra_ecirrhosa_RNA__03	CUC_Cephalopentandra_ecirrhosa_RNA
CUC_Cephalopentandra_ecirrhosa_RNA__04	CUC_Cephalopentandra_ecirrhosa_RNA
CUC_Cephalopentandra_ecirrhosa_RNA__05	CUC_Cephalopentandra_ecirrhosa_RNA
CUC_Cephalopentandra_ecirrhosa__00	CUC_Cephalopentandra_ecirrhosa
CUC_Cephalopentandra_ecirrhosa__01	CUC_Cephalopentandra_ecirrhosa
CUC_Cephalopentandra_ecirrhosa__02	CUC_Cephalopentandra_ecirrhosa
CUC_Cephalopentandra_ecirrhosa__03	CUC_Cephalopentandra_ecirrhosa
CUC_Cephalopentandra_ecirrhosa__04	CUC_Cephalopentandra_ecirrhosa
CUC_Cephalopentandra_ecirrhosa__05	CUC_Cephalopentandra_ecirrhosa
CUC_Ceratosanthes_palmata	CUC_Ceratosanthes_palmata
CUC_Ceratosanthes_palmata__00	CUC_Ceratosanthes_palmata
CUC_Ceratosanthes_palmata__01	CUC_Ceratosanthes_palmata
CUC_Ceratosanthes_palmata__02	CUC_Ceratosanthes_palmata
CUC_Ceratosanthes_palmata__03	CUC_Ceratosanthes_palmata
CUC_Ceratosanthes_palmata__04	CUC_Ceratosanthes_palmata
CUC_Ceratosanthes_palmata__05	CUC_Ceratosanthes_palmata
CUC_Cionosicys_macranthus	CUC_Cionosicys_macranthus
CUC_Cionosicys_macranthus_HS2657_GSK	CUC_Cionosicys_macranthus_HS2657_GSK
CUC_Cionosicys_macranthus_HS2657_GSK__00	CUC_Cionosicys_macranthus_HS2657_GSK
CUC_Cionosicys_macranthus_HS2657_GSK__01	CUC_Cionosicys_macranthus_HS2657_GSK
CUC_Cionosicys_macranthus_HS2657_GSK__02	CUC_Cionosicys_macranthus_HS2657_GSK
CUC_Cionosicys_macranthus_RNA	CUC_Cionosicys_macranthus_RNA
CUC_Cionosicys_macranthus_RNA__00	CUC_Cionosicys_macranthus_RNA
CUC_Cionosicys_macranthus_RNA__01	CUC_Cionosicys_macranthus_RNA
